Power,Speed,P/v,Width,Depth,Length,hatch distance depth (um),lack of fusion - hatch,lack of fusion,balling,keyholing,hmax
146.6666667,1733.333333,0.084615385,75.59777821,42.96632584,446.916624,41.57435094,4.157435094,4.296632584,0.169154098,1.759465738,68.08841379
146.6666667,2000,0.073333333,71.76775524,37.23604279,427.9774185,36.06822004,3.606822004,3.723604279,0.167690519,1.927373315,63.7197949
146.6666667,2266.666667,0.064705882,67.8273439,32.31456181,412.4046428,31.65672629,3.165672629,3.231456181,0.164467944,2.098971489,59.27328844
146.6666667,2533.333333,0.057894737,64.46649007,29.15676059,398.8486588,28.49308175,2.849308175,2.915676059,0.161631458,2.211030607,55.62887573
146.6666667,2800,0.052380952,62.2290979,26.77815048,388.7260152,26.09464873,2.609464873,2.677815048,0.160084727,2.323875876,53.0993068
170,400,0.425,107.1104171,278.3021137,416.4791852,272.2695445,27.22695445,27.83021137,0.257180721,0.384871015,105.2364162
170,666.6666667,0.255,117.5735402,169.9654837,640.4760776,167.039263,16.7039263,16.99654837,0.183572103,0.691749511,114.2602983
170,933.3333333,0.182142857,104.3053553,108.9361579,627.4369752,107.5382631,10.75382631,10.89361579,0.166240371,0.957490675,99.82416389
170,1200,0.141666667,95.3208842,78.10916309,590.5242143,77.14474246,7.714474246,7.810916309,0.161417402,1.220354699,89.7487723
170,1466.666667,0.115909091,86.90461334,61.07226883,558.2385862,59.59691108,5.959691108,6.107226883,0.155676471,1.422979938,80.55913029
170,1733.333333,0.098076923,80.71166524,50.06993274,529.4057345,49.42442179,4.942442179,5.006993274,0.152457104,1.611978703,73.68791001
170,2000,0.085,76.61819926,43.54064185,503.5998388,42.20305851,4.220305851,4.354064185,0.152141032,1.75969384,69.0935596
170,2266.666667,0.075,72.53968934,38.01134193,483.5863995,37.56678599,3.756678599,3.801134193,0.150003576,1.908369599,64.5446678
170,2533.333333,0.067105263,68.72957147,33.64604739,467.4765131,32.9063522,3.29063522,3.364604739,0.147022512,2.042723494,60.34457074
170,2800,0.060714286,66.2460449,30.94499868,454.5951873,30.02937341,3.002937341,3.094499868,0.145725355,2.140767417,57.59101837
193.3333333,400,0.483333333,104.0229149,319.9238025,409.955231,313.2129926,31.32129926,31.99238025,0.253742133,0.325149033,102.4343159
193.3333333,666.6666667,0.29,115.7582972,196.5474461,652.4101902,193.4819172,19.34819172,19.65474461,0.177431774,0.588958542,112.9213125
193.3333333,933.3333333,0.207142857,109.7696,131.1578097,719.922063,129.2565848,12.92565848,13.11578097,0.152474283,0.83692767,105.8099975
193.3333333,1200,0.161111111,100.945221,93.46357268,681.0191383,92.32417538,9.232417538,9.346357268,0.148226702,1.080048816,95.94298291
193.3333333,1466.666667,0.131818182,91.88359877,71.85733017,648.801464,70.74428505,7.074428505,7.185733017,0.141620517,1.27869486,86.08842203
193.3333333,1733.333333,0.111538462,85.43860315,58.4781248,614.0303607,57.38847792,5.738847792,5.84781248,0.139143939,1.461035275,78.95414388
193.3333333,2000,0.096666667,80.9791437,49.56645549,585.0390592,48.95556801,4.895556801,4.956645549,0.138416645,1.633748932,73.86968257
193.3333333,2266.666667,0.085294118,76.76573048,43.8941866,560.8131898,42.65156759,4.265156759,4.38941866,0.136882891,1.74888149,69.27873177
193.3333333,2533.333333,0.076315789,72.5866315,38.63846748,539.063765,38.26346198,3.826346198,3.863846748,0.134653145,1.87861052,64.69588346
193.3333333,2800,0.069047619,69.85380529,34.88319809,522.6064068,34.01995716,3.401995716,3.488319809,0.133664273,2.002505765,61.58235872
216.6666667,666.6666667,0.325,113.9199257,225.2049987,658.8839784,220.5630339,22.05630339,22.52049987,0.172898309,0.505849898,111.4719074
216.6666667,933.3333333,0.232142857,116.3671162,155.5315582,810.0814163,153.5734979,15.35734979,15.55315582,0.143648668,0.748189741,112.7974111
